,전철역,dong,latitude,longitude
0,두정역,두정동,36.833705,127.14896
1,성환역,성환읍,36.916076,127.126964
2,봉명역,봉명동,36.801215,127.135763
3,쌍용역,쌍용1동,36.793759,127.1214
4,직산역,직산읍,36.870593,127.143904
5,천안역,중앙동,36.810005,127.146826
