,0
목천읍,4883.0
풍세면,2353.0
광덕면,541.0
북면,586.0
성남면,361.0
수신면,309.0
병천면,1290.0
동면,185.0
중앙동,966.0
문성동,2553.0
원성1동,1729.0
원성2동,1963.0
봉명동,4780.0
일봉동,4926.0
신방동,12523.0
청룡동,16529.0
신안동,14100.0
성환읍,4502.0
성거읍,5217.0
직산읍,5079.0
입장면,1397.0
성정1동,5049.0
성정2동,11520.0
쌍용1동,3907.0
쌍용2동,10709.0
쌍용3동,4750.0
백석동,10821.0
불당1동,10599.0
불당2동,11131.0
부성1동,21596.0
부성2동,21827.0
