,단지명,위치,동이름,총세대수(청년),최초입주일(청년),latitude,longitude
0,천안신방(A-1)행복주택,충청남도 천안시 동남구 통정11로 80(신방동),신방동,450,2018.11,36.7719099845066,127.13459769229
1,아산탕정 1-A1BL,"충청남도 천안시 서북구 불당24로 9(불당동,천안불당엘에이치1단지)",불당동,740,2019.06,36.8233074168387,127.102767597978
2,천안두정 A-1BL 행복주택,"충청남도 천안시 서북구 오성1길 12-10(두정동,천안두정엘에이치1단지)",두정동,40,2019.1,36.8312798814248,127.129022989555
3,천안두정2(노후청사),충청남도 천안시 서북구 봉정로 339(두정동),두정동,1150,2022.07,36.8324355465212,127.144906923526
4,천안두정2(노후청사),충청남도 천안시 서북구 부성18로 71(부대동),부대동,730,2023.01,36.8468583264745,127.153142908436
5,천안역세권,충청남도 천안시 서북구 천안천4길 32(와촌동),와촌동,150,2022.06,36.809560162563,127.144178968144
