,주소,weighted_distance,Longitude,Latitude,geometry
0,충청남도 천안시 동남구 단대로 119,0.6575811706384002,127.165213408735,36.8359524852566,POINT (970148.0860385612 1870911.5658587362)
1,충청남도 천안시 동남구 대흥로 239,0.0429024046383735,127.146822493854,36.8123208138282,POINT (968498.5324689166 1868295.9938368122)
2,충청남도 천안시 동남구 백석대학로 1,0.6668024486805917,127.182520646399,36.8388372068096,POINT (971692.3881043689 1871226.3035635264)
3,충청남도 천안시 동남구 병천면 충절로 1600,0.008871476660600184,127.281200389603,36.765104950533,POINT (980472.3362393699 1863022.5123923332)
4,충청남도 천안시 동남구 상명대길 31,0.6612630416859651,127.180992915316,36.8313071956562,POINT (971553.3814262982 1870391.448158147)
5,충청남도 천안시 동남구 순천향6길 31,0.0882690850258062,127.136781488139,36.8028115585226,POINT (967598.9207553947 1867244.4844321788)
6,충청남도 천안시 동남구 차돌로 51,0.08820345839158591,127.135835679685,36.8012573235829,POINT (967513.8926762217 1867072.3937004055)
7,충청남도 천안시 동남구 천안대로 277,0.8608375098139668,127.163541864631,36.7747935132111,POINT (969975.1706856524 1864127.7151297643)
8,충청남도 천안시 동남구 충절로 535-31 (삼룡동),0.8524588604987633,127.181382399891,36.7772138178129,POINT (971568.1219011792 1864390.7497566792)
9,충청남도 천안시 동남구 통정11로 80(신방동),0.4841209245565532,127.13459769229,36.7719099845066,POINT (967391.0216522343 1863817.3174694018)
10,충청남도 천안시 동남구 호서대길 12,0.6690282995940805,127.18374983888,36.8272281609711,POINT (971797.7264169571 1869938.1416621378)
11,충청남도 천안시 서북구 두정로 289,0.9701738655856389,127.149020699344,36.8329346310528,POINT (968702.9963694958 1870581.9734288289)
12,충청남도 천안시 서북구 봉정로 339(두정동),0.9655250694464895,127.144906923526,36.8324355465212,POINT (968335.9618550168 1870527.9646318022)
13,충청남도 천안시 서북구 부성18로 71(부대동),0.9599750162353227,127.153142908436,36.8468583264745,POINT (969076.1835939988 1872125.1985823778)
14,"충청남도 천안시 서북구 불당24로 9(불당동,천안불당엘에이치1단지)",0.4262127112145573,127.102767597978,36.8233074168387,POINT (964574.1277683367 1869530.1632468528)
15,충청남도 천안시 서북구 성환읍 대학로 91,0.07294134339740586,127.143619452225,36.9109137342107,POINT (968253.6477179318 1879234.0915209807)
16,충청남도 천안시 서북구 성환읍 성환1로 237-5,0.07646202452566743,127.126731508304,36.9167659166842,POINT (966751.8053418197 1879889.0405386006)
17,충청남도 천안시 서북구 쌍용19로 20,0.36314788210854254,127.1213503702,36.793724274634,POINT (966218.3844439163 1866241.7693119596)
18,"충청남도 천안시 서북구 오성1길 12-10(두정동,천안두정엘에이치1단지)",1.0,127.129022989555,36.8312798814248,POINT (966919.0709819993 1870405.145890468)
19,충청남도 천안시 서북구 월봉로 48,0.36768052723832645,127.119477919956,36.7983475274385,POINT (966053.3713353119 1866755.2902265715)
20,충청남도 천안시 서북구 직산읍 천안대로 1471-33,0.04202228158593148,127.143691456107,36.8713897700414,POINT (968243.693983887 1874849.6023580674)
21,충청남도 천안시 서북구 천안대로 1223-24,0.9457938461384223,127.151019558662,36.8508404103786,POINT (968888.4906384731 1872567.6245091872)
22,충청남도 천안시 서북구 천안천4길 32(와촌동),0.17240971258997007,127.144178968144,36.809560162563,POINT (968261.6042871765 1867990.6280614194)
