주소,개수,pm가중치
문성동,2,0.027777777777777776
백석동,19,0.5
봉명동,7,0.16666666666666666
부성1동,30,0.8055555555555556
부성2동,30,0.8055555555555556
불당1동,37,1.0
불당2동,15,0.3888888888888889
성정1동,6,0.1388888888888889
성정2동,19,0.5
성환읍,5,0.1111111111111111
신방동,16,0.4166666666666667
신안동,23,0.6111111111111112
쌍용1동,8,0.19444444444444445
쌍용2동,18,0.4722222222222222
쌍용3동,7,0.16666666666666666
원성1동,3,0.05555555555555555
원성2동,1,0.0
일봉동,1,0.0
중앙동,4,0.08333333333333333
청룡동,23,0.6111111111111112
